cod_municipio;modulo_fiscal_ha;fracao_minima_parcelamento_ha;zona_tipica_modulo;zona_pecuaria;data_referencia;fonte;observacao
2300754;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300804;50.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2300903;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301000;10.0;2.0;A1;2;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301109;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301208;40.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301257;70.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301307;65.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301406;20.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301505;90.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301604;50.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301703;45.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301802;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301851;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301901;26.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2301950;35.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302008;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302057;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302107;40.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302206;28.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302305;40.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302404;50.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302503;45.0;4.0;B3;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302602;55.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302701;70.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302800;50.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2302909;45.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303006;50.0;4.0;B3;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303105;55.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303204;45.0;2.0;A2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303303;40.0;3.0;B2;4;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303402;50.0;4.0;B3;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303501;28.0;2.0;A1;3;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
2303600;90.0;3.0;B2;5;2022-08-01;"INCRA — Índices Básicos (IE nº 5/2022; tabela de 2013)";
