cod_municipio;area_geometrica_uniao_ha;area_agropecuaria_mapbiomas_ha;area_vegetacao_mapbiomas_ha;ano_mapbiomas
5005806;378731.0664;237012.86579999997;100377.6354;2024
5006002;396024.2167;258119.2327;52213.763699999996;2024
5006200;468332.3948;308274.7537;69652.0162;2024
5006259;82094.8291;50265.5147;8629.2586;2024
5006275;495461.7324;363253.16510000004;81861.2061;2024
5006309;519466.0011;362194.8104;68601.599;2024
5006358;108464.9501;87470.028;12070.9578;2024
5006408;345753.8222;207304.0313;109406.5808;2024
5006606;517853.2805;337166.6487;94463.7735;2024
5006903;1290701.9731;646297.3069;1054089.6494999998;2024
5007109;1701278.654;1098130.0596999999;309036.8549;2024
5007208;391792.2115;260669.1054;60581.5807;2024
5007307;176289.5466;96719.6688;66411.8291;2024
5007406;784310.869;397287.8097;377594.4905;2024
5007505;127544.9107;76454.75;31255.2451;2024
