cod_municipio;uf;modulo_fiscal_ha;numero_estabelecimentos_censo;area_estabelecimentos_censo_ha;valor_producao_florestal;produto_florestal_predominante;silvicultura_presente;ano_referencia_pevs;quantidade_cadastros_car;area_car_uniao_ha;percentual_sobreposicao_car;mediana_modulos_fiscais_car;percentual_pequenos_imoveis_car;percentual_medios_imoveis_car;percentual_grandes_imoveis_car;percentual_area_pequenos_imoveis_car;percentual_area_medios_imoveis_car;percentual_area_grandes_imoveis_car;mapbiomas_agricultura_ha;mapbiomas_pastagem_ha;mapbiomas_silvicultura_ha
1300102;AM;100.0;749.0;21664.0;;;False;2025;271.0;838609.0831;2.3;0.2127;91.46;4.47;4.07;1.13;1.04;97.83;;1020.6008;
1300144;AM;100.0;1091.0;338777.0;;;False;2025;2491.0;4729327.7528;73.23;1.3125;81.26;10.11;8.62;2.64;1.95;95.42;64.8251;418498.8682;
1300201;AM;100.0;1252.0;12617.0;;;False;2025;277.0;1097661.7361;44.35;0.2675;81.89;7.87;10.24;1.89;1.58;96.53;;1915.3657;
1300300;AM;80.0;2583.0;169558.0;;;False;2025;4110.0;644327.7947;20.72;0.5197;95.57;3.77;0.67;29.12;10.29;60.6;;83728.8059;
1300409;AM;100.0;932.0;7666.0;;;False;2025;158.0;8710880.9971;2.05;0.6393;60.93;7.95;31.13;0.05;0.11;99.84;590.4379;3697.3883;
1300508;AM;80.0;1579.0;49256.0;;;False;2025;2868.0;265824.8993;30.85;0.5015;95.95;3.63;0.42;42.64;19.8;37.57;16.0698;21146.1311;
1300607;AM;100.0;1210.0;5687.0;;;False;2025;342.0;115302.8539;5.64;0.2445;98.22;0.0;1.78;11.0;0.0;89.0;;1287.0678;
1300631;AM;80.0;1017.0;28382.0;;;False;2025;651.0;1689349.3118;12.37;0.3897;92.86;2.86;4.29;1.35;0.69;97.96;;7851.8506;
1300680;AM;80.0;1119.0;50141.0;;;False;2025;563.0;51497.3819;14.52;0.4326;95.37;3.74;0.89;48.38;24.12;27.5;6.8737;8447.5344;
1300706;AM;100.0;3373.0;330681.0;;;False;2025;5349.0;1828614.4892;34.67;0.7137;90.46;6.48;3.06;14.74;8.87;76.39;88.7244;309891.168;
1300805;AM;100.0;1732.0;39667.0;;;False;2025;1026.0;2563993.2252;54.91;0.7874;73.23;9.94;16.84;1.13;1.95;96.92;0.0;30828.6499;
1300839;AM;80.0;213.0;3619.0;;;False;2025;92.0;619896.5219;1.17;0.5413;82.61;9.78;7.61;0.77;0.59;98.64;2.499;8689.0224;
1300904;AM;100.0;1029.0;157963.0;;;False;2025;3009.0;2356839.9845;44.17;0.6488;84.22;10.42;5.36;4.58;6.38;89.05;575.8384;149715.8951;
1301001;AM;100.0;1505.0;266090.0;;;False;2025;1472.0;1272311.834;28.22;0.0943;95.79;1.56;2.65;2.36;0.98;96.66;;7286.9181;
1301100;AM;80.0;2291.0;95428.0;;;False;2025;3838.0;244953.4453;19.03;0.3561;97.08;1.9;1.02;48.73;14.13;37.14;52.5632;43356.5065;
1301159;AM;80.0;1842.0;64705.0;;;False;2025;1927.0;130255.0571;12.19;0.3537;98.06;1.72;0.22;62.94;14.33;22.72;0.0;36371.305;
1301209;AM;100.0;2173.0;73094.0;;;False;2025;1671.0;4109584.412;25.31;0.8608;72.36;11.89;15.75;1.86;2.87;95.27;;7004.3373;
1301308;AM;100.0;1130.0;69653.0;;;False;2025;2548.0;895738.526;8.91;0.5038;94.62;3.5;1.89;21.6;5.63;72.78;;2852.2055;
1301407;AM;100.0;1052.0;13470.0;;;False;2025;529.0;216421.0763;14.29;0.1999;90.15;5.49;4.36;9.03;7.1;83.87;;18406.9789;
1301506;AM;100.0;1028.0;70561.0;;;False;2025;1815.0;588006.3749;44.75;1.1497;81.84;14.74;3.42;16.32;15.18;68.5;;27964.1463;
1301605;AM;100.0;881.0;917.0;;;False;2025;521.0;1716633.8156;6.84;0.0696;91.52;5.39;3.08;0.42;0.97;98.61;;2018.4406;
1301654;AM;100.0;948.0;69580.0;;;False;2025;1451.0;602948.0651;17.91;0.7928;92.2;3.83;3.97;14.95;6.26;78.79;;50648.665;
1301704;AM;100.0;768.0;88209.0;;;False;2025;1701.0;1683446.872;31.43;1.0136;78.87;12.18;8.95;5.65;7.16;87.19;95.8604;117136.4982;
1301803;AM;100.0;1099.0;27309.0;;;False;2025;416.0;924411.5774;26.59;0.5552;88.54;6.1;5.37;2.29;1.49;96.23;;22586.7483;
1301852;AM;80.0;1399.0;24300.0;;;False;2025;2607.0;164982.2392;19.19;0.1243;98.67;1.02;0.31;27.74;7.77;64.49;36.3343;14571.2697;
1301902;AM;80.0;2442.0;146628.0;;;False;2025;6812.0;479888.0998;35.85;0.2943;96.7;2.08;1.22;36.24;12.03;51.73;24.5445;53139.7612;
1301951;AM;100.0;913.0;6786.0;;;False;2025;184.0;294459.2741;29.28;0.9569;83.06;6.56;10.38;4.01;1.62;94.38;;3270.664;
1302009;AM;80.0;226.0;11538.0;;;False;2025;473.0;292978.7849;39.46;0.5918;79.46;4.02;16.52;5.37;3.49;91.14;38.0453;4702.8234;
1302108;AM;100.0;302.0;3042.0;;;False;2025;245.0;2447010.5459;0.62;2.2518;67.49;20.58;11.93;0.88;1.02;98.1;;1181.0726;
1302207;AM;100.0;836.0;2182.0;;;False;2025;172.0;1644023.7499;32.9;0.2528;76.33;14.2;9.47;0.5;0.95;98.55;;2394.1335;
1302306;AM;100.0;1100.0;6092.0;;;False;2025;489.0;4131528.2007;5.67;0.8765;72.84;14.22;12.93;0.62;1.11;98.27;;4529.1979;
1302405;AM;100.0;2461.0;346270.0;;;False;2025;4558.0;4962154.8591;37.04;1.0251;80.68;11.24;8.08;5.88;5.96;88.16;1862.1177;662085.0599;
1302504;AM;80.0;2357.0;55465.0;;;False;2025;2168.0;534771.8195;10.2;0.1383;95.2;3.9;0.9;8.41;7.45;84.15;18.8351;33298.1135;
1302553;AM;80.0;1281.0;39162.0;;;False;2025;543.0;262259.3017;7.32;0.4898;96.56;1.21;2.23;7.86;1.04;91.09;0.0;12335.7462;
1302603;AM;10.0;1943.0;42006.0;;;False;2025;7141.0;623725.6343;16.8;1.0587;89.26;8.82;1.92;10.74;5.34;83.92;388.61769999999996;18101.4126;
1302702;AM;100.0;2650.0;210857.0;;;False;2025;2631.0;3137897.9989;54.91;1.7519;63.47;20.21;16.32;2.5;6.47;91.02;78.2802;203357.2743;
1302801;AM;100.0;725.0;4186.0;;;False;2025;201.0;47486.0119;6.27;0.2066;90.95;3.52;5.53;16.98;11.57;71.45;;1373.2775;
