cod_municipio;variavel;faixa_harmonizada;valor;ano_referencia;classificacao
1100080;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;82626.0;2017;harmonizada
1100080;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;11937.0;2017;harmonizada
1100080;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;33364.0;2017;harmonizada
1100080;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;20525.0;2017;harmonizada
1100098;Número de estabelecimentos agropecuários;ate_10_ha;299.0;2017;harmonizada
1100098;Número de estabelecimentos agropecuários;mais_1000_ha;48.0;2017;harmonizada
1100098;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;341.0;2017;harmonizada
1100098;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;865.0;2017;harmonizada
1100098;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;54.0;2017;harmonizada
1100098;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;392.0;2017;harmonizada
1100098;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100098;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100098;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;66888.0;2017;harmonizada
1100098;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;23969.0;2017;harmonizada
1100098;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;41165.0;2017;harmonizada
1100098;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;25056.0;2017;harmonizada
1100106;Número de estabelecimentos agropecuários;ate_10_ha;179.0;2017;harmonizada
1100106;Número de estabelecimentos agropecuários;mais_1000_ha;12.0;2017;harmonizada
1100106;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;134.0;2017;harmonizada
1100106;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;108.0;2017;harmonizada
1100106;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;19.0;2017;harmonizada
1100106;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;93.0;2017;harmonizada
1100106;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100106;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100106;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;25794.0;2017;harmonizada
1100106;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;2552.0;2017;harmonizada
1100106;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;13161.0;2017;harmonizada
1100106;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;6376.0;2017;harmonizada
1100114;Número de estabelecimentos agropecuários;ate_10_ha;567.0;2017;harmonizada
1100114;Número de estabelecimentos agropecuários;mais_1000_ha;14.0;2017;harmonizada
1100114;Número de estabelecimentos agropecuários;mais_100_ate_500_ha;598.0;2017;harmonizada
1100114;Número de estabelecimentos agropecuários;mais_10_ate_50_ha;1515.0;2017;harmonizada
1100114;Número de estabelecimentos agropecuários;mais_500_ate_1000_ha;37.0;2017;harmonizada
1100114;Número de estabelecimentos agropecuários;mais_50_ate_100_ha;816.0;2017;harmonizada
1100114;Área dos estabelecimentos agropecuários;ate_10_ha;;2017;harmonizada
1100114;Área dos estabelecimentos agropecuários;mais_1000_ha;;2017;harmonizada
1100114;Área dos estabelecimentos agropecuários;mais_100_ate_500_ha;100057.0;2017;harmonizada
1100114;Área dos estabelecimentos agropecuários;mais_10_ate_50_ha;42353.0;2017;harmonizada
1100114;Área dos estabelecimentos agropecuários;mais_500_ate_1000_ha;24992.0;2017;harmonizada
1100114;Área dos estabelecimentos agropecuários;mais_50_ate_100_ha;55291.0;2017;harmonizada
1100122;Número de estabelecimentos agropecuários;ate_10_ha;450.0;2017;harmonizada
1100122;Número de estabelecimentos agropecuários;mais_1000_ha;22.0;2017;harmonizada
