cod_municipio;uf;modulo_fiscal_ha;numero_estabelecimentos_censo;area_estabelecimentos_censo_ha;valor_producao_florestal;produto_florestal_predominante;silvicultura_presente;ano_referencia_pevs
1504455;PA;70.0;3457.0;299265.0;;;False;2025
1504505;PA;70.0;1759.0;124.0;;;False;2025
1504604;PA;70.0;1480.0;26608.0;;;False;2025
1504703;PA;70.0;5831.0;361047.0;;;False;2025
1504752;PA;75.0;1575.0;133126.0;;;False;2025
1504802;PA;75.0;4225.0;202780.0;;;False;2025
1504901;PA;65.0;2484.0;87666.0;;;False;2025
1504950;PA;75.0;1378.0;78957.0;;;False;2025
1504976;PA;70.0;1428.0;120089.0;;;False;2025
1505007;PA;55.0;906.0;26338.0;;;False;2025
1505031;PA;75.0;1318.0;841898.0;;;False;2025
1505064;PA;70.0;5424.0;865231.0;;;False;2025
1505106;PA;75.0;2780.0;241177.0;;;False;2025
1505205;PA;70.0;3725.0;38288.0;;;False;2025
1505304;PA;75.0;2440.0;124183.0;;;False;2025
1505403;PA;55.0;1159.0;37429.0;;;False;2025
1505437;PA;75.0;1207.0;203478.0;;;False;2025
1505486;PA;70.0;4422.0;807620.0;;;False;2025
1505494;PA;70.0;433.0;63368.0;;;False;2025
1505502;PA;55.0;1446.0;856019.0;95005.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1505536;PA;70.0;1297.0;87951.0;;;False;2025
1505551;PA;75.0;570.0;123819.0;;;False;2025
1505601;PA;55.0;718.0;35815.0;;;False;2025
1505635;PA;75.0;1334.0;298015.0;;;False;2025
1505650;PA;75.0;2722.0;301243.0;;;False;2025
1505700;PA;65.0;2841.0;41996.0;;;False;2025
1505809;PA;70.0;2348.0;105277.0;;;False;2025
1505908;PA;70.0;1584.0;316242.0;;;False;2025
1506005;PA;70.0;1211.0;117118.0;;;False;2025
1506104;PA;55.0;388.0;4877.0;;;False;2025
1506112;PA;55.0;151.0;1897.0;;;False;2025
1506138;PA;75.0;986.0;245824.0;;;False;2025
1506161;PA;75.0;1064.0;322054.0;;;False;2025
1506187;PA;55.0;1850.0;364997.0;50660.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1506195;PA;75.0;2660.0;309902.0;;;False;2025
1506203;PA;55.0;210.0;898.0;;;False;2025
1506302;PA;65.0;344.0;14360.0;;;False;2025
1506351;PA;7.0;447.0;8002.0;;;False;2025
1506401;PA;65.0;175.0;22626.0;;;False;2025
1506500;PA;55.0;1213.0;21497.0;;;False;2025
1506559;PA;75.0;1131.0;68167.0;;;False;2025
1506583;PA;75.0;2788.0;798318.0;;;False;2025
1506609;PA;55.0;1217.0;24953.0;;;False;2025
1506708;PA;75.0;2051.0;857864.0;;;False;2025
1506807;PA;75.0;7379.0;180512.0;;;False;2025
1506906;PA;55.0;233.0;7952.0;;;False;2025
1507003;PA;55.0;883.0;19248.0;;;False;2025
1507102;PA;55.0;626.0;14476.0;;;False;2025
1507151;PA;70.0;1016.0;112369.0;;;False;2025
1507201;PA;55.0;3151.0;80819.0;;;False;2025
1507300;PA;75.0;6375.0;2462092.0;;;False;2025
1507409;PA;55.0;686.0;35480.0;;;False;2025
1507458;PA;75.0;1213.0;254157.0;;;False;2025
1507466;PA;55.0;181.0;6958.0;;;False;2025
1507474;PA;55.0;521.0;13816.0;;;False;2025
1507508;PA;70.0;1220.0;77603.0;;;False;2025
1507607;PA;55.0;2250.0;72647.0;;;False;2025
1507706;PA;70.0;2382.0;48426.0;;;False;2025
1507755;PA;75.0;236.0;372562.0;;;False;2025
1507805;PA;70.0;2224.0;217455.0;;;False;2025
1507904;PA;65.0;120.0;198911.0;;;False;2025
1507953;PA;50.0;939.0;233954.0;770.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1507961;PA;55.0;104.0;2111.0;;;False;2025
1507979;PA;75.0;572.0;39307.0;;;False;2025
1508001;PA;50.0;3050.0;240377.0;;;False;2025
1508035;PA;55.0;3072.0;28338.0;;;False;2025
1508050;PA;75.0;726.0;139775.0;;;False;2025
1508084;PA;75.0;1869.0;226858.0;;;False;2025
1508100;PA;70.0;1410.0;139934.0;;;False;2025
1508126;PA;55.0;1246.0;330144.0;65378.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1508159;PA;70.0;3993.0;548567.0;;;False;2025
1508209;PA;55.0;945.0;8247.0;;;False;2025
1508308;PA;75.0;4241.0;231045.0;;;False;2025
1508357;PA;75.0;1075.0;180457.0;;;False;2025
1508407;PA;75.0;918.0;221043.0;;;False;2025
1600055;AP;50.0;114.0;5243.0;;;False;2025
1600105;AP;70.0;223.0;196152.0;;;False;2025
1600154;AP;50.0;594.0;33177.0;;;False;2025
1600204;AP;70.0;213.0;138322.0;;;False;2025
1600212;AP;50.0;182.0;233800.0;;;False;2025
1600238;AP;50.0;226.0;136947.0;76182.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1600253;AP;50.0;215.0;60302.0;;;False;2025
1600279;AP;70.0;427.0;30078.0;;;False;2025
1600303;AP;50.0;1828.0;130310.0;70239.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1600402;AP;70.0;1169.0;88157.0;;;False;2025
1600501;AP;70.0;1136.0;28868.0;;;False;2025
1600535;AP;50.0;739.0;81200.0;49582.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1600550;AP;70.0;145.0;65130.0;;;False;2025
1600600;AP;50.0;705.0;36137.0;;;False;2025
1600709;AP;70.0;327.0;218396.0;;;False;2025
1600808;AP;70.0;264.0;24075.0;;;False;2025
1700251;TO;80.0;388.0;157433.0;;;False;2025
1700301;TO;80.0;169.0;15119.0;;;False;2025
1700350;TO;80.0;330.0;129013.0;2633.0;1.2 - Lenha;True;2025
1700400;TO;80.0;353.0;161888.0;;;False;2025
1700707;TO;80.0;163.0;102194.0;;;False;2025
1701002;TO;80.0;374.0;127448.0;;;False;2025
1701051;TO;80.0;158.0;33802.0;;;False;2025
1701101;TO;80.0;278.0;75818.0;;;False;2025
1701309;TO;80.0;670.0;74149.0;;;False;2025
1701903;TO;80.0;959.0;174915.0;;;False;2025
1702000;TO;70.0;946.0;574950.0;;;False;2025
1702109;TO;80.0;1055.0;287777.0;;;False;2025
1702158;TO;80.0;145.0;48948.0;;;False;2025
1702208;TO;80.0;2114.0;154753.0;;;False;2025
1702307;TO;80.0;246.0;123945.0;;;False;2025
1702406;TO;80.0;866.0;359782.0;;;False;2025
1702554;TO;80.0;421.0;21653.0;;;False;2025
1702703;TO;80.0;204.0;63279.0;;;False;2025
1702901;TO;80.0;152.0;8284.0;;;False;2025
1703008;TO;80.0;1030.0;94775.0;;;False;2025
1703057;TO;80.0;212.0;105099.0;;;False;2025
1703073;TO;80.0;252.0;60161.0;;;False;2025
1703107;TO;80.0;240.0;48338.0;;;False;2025
1703206;TO;80.0;577.0;66259.0;;;False;2025
1703305;TO;80.0;243.0;59659.0;;;False;2025
1703602;TO;80.0;137.0;39760.0;;;False;2025
1703701;TO;80.0;423.0;99912.0;765.0;1.2 - Lenha;True;2025
1703800;TO;80.0;214.0;19994.0;;;False;2025
1703826;TO;80.0;201.0;18617.0;;;False;2025
1703842;TO;80.0;655.0;177222.0;;;False;2025
1703867;TO;80.0;376.0;92345.0;;;False;2025
1703883;TO;80.0;94.0;31300.0;;;False;2025
1703891;TO;80.0;185.0;14242.0;;;False;2025
1703909;TO;80.0;461.0;145036.0;;;False;2025
1704105;TO;80.0;340.0;101059.0;;;False;2025
1704600;TO;80.0;218.0;53646.0;;;False;2025
1705102;TO;80.0;396.0;81960.0;;;False;2025
1705508;TO;80.0;386.0;72408.0;;;False;2025
1705557;TO;80.0;188.0;9212.0;;;False;2025
1705607;TO;80.0;340.0;168973.0;;;False;2025
1706001;TO;80.0;765.0;126323.0;;;False;2025
1706100;TO;80.0;483.0;142560.0;;;False;2025
1706258;TO;80.0;175.0;90059.0;6930.0;1.2 - Lenha;True;2025
1706506;TO;80.0;294.0;62881.0;;;False;2025
1707009;TO;80.0;453.0;97898.0;51.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1707108;TO;80.0;722.0;189159.0;;;False;2025
1707207;TO;80.0;1157.0;292034.0;;;False;2025
1707306;TO;80.0;497.0;257801.0;3177.0;1.2 - Lenha;True;2025
1707405;TO;80.0;460.0;27205.0;;;False;2025
1707553;TO;80.0;215.0;36854.0;;;False;2025
1707652;TO;80.0;449.0;166563.0;;;False;2025
1707702;TO;80.0;697.0;122899.0;;;False;2025
1708205;TO;80.0;1102.0;549527.0;140.0;1.2 - Lenha;True;2025
1708254;TO;80.0;106.0;30163.0;;;False;2025
1708304;TO;80.0;698.0;121751.0;;;False;2025
1709005;TO;80.0;909.0;211893.0;;;False;2025
1709302;TO;80.0;678.0;130452.0;;;False;2025
1709500;TO;80.0;626.0;129429.0;;;False;2025
1709807;TO;80.0;171.0;44384.0;;;False;2025
1710508;TO;80.0;547.0;115121.0;;;False;2025
1710706;TO;80.0;475.0;36208.0;;;False;2025
1710904;TO;80.0;494.0;100867.0;;;False;2025
1711100;TO;80.0;283.0;84152.0;;;False;2025
1711506;TO;80.0;624.0;160558.0;1980.0;1.2 - Lenha;True;2025
1711803;TO;80.0;313.0;38817.0;;;False;2025
1711902;TO;80.0;490.0;330397.0;;;False;2025
1711951;TO;80.0;399.0;57289.0;180.0;1.2 - Lenha;True;2025
1712009;TO;80.0;125.0;8628.0;;;False;2025
1712157;TO;80.0;181.0;25887.0;;;False;2025
1712405;TO;80.0;535.0;131843.0;;;False;2025
1712454;TO;80.0;215.0;11920.0;;;False;2025
1712504;TO;80.0;670.0;176022.0;;;False;2025
1712702;TO;80.0;216.0;124847.0;;;False;2025
1712801;TO;80.0;304.0;12317.0;;;False;2025
1713205;TO;80.0;783.0;161318.0;956.0;1.3.1 - Madeira em tora para papel e celulose;True;2025
1713304;TO;80.0;504.0;75100.0;;;False;2025
1713601;TO;80.0;832.0;200395.0;90.0;1.2 - Lenha;True;2025
1713700;TO;80.0;389.0;84247.0;;;False;2025
1713809;TO;80.0;546.0;53638.0;;;False;2025
1713957;TO;80.0;246.0;79213.0;;;False;2025
1714203;TO;80.0;359.0;150892.0;;;False;2025
1714302;TO;80.0;187.0;15449.0;;;False;2025
1714880;TO;80.0;719.0;106192.0;;;False;2025
1715002;TO;80.0;300.0;43070.0;;;False;2025
1715101;TO;80.0;197.0;88798.0;1900.0;1.2 - Lenha;True;2025
1715150;TO;80.0;107.0;11891.0;;;False;2025
1715259;TO;80.0;174.0;53508.0;;;False;2025
1715507;TO;80.0;82.0;15586.0;;;False;2025
1715705;TO;80.0;724.0;165013.0;;;False;2025
1715754;TO;80.0;570.0;136426.0;;;False;2025
1716109;TO;80.0;624.0;109185.0;;;False;2025
1716208;TO;80.0;1469.0;479137.0;;;False;2025
1716307;TO;80.0;421.0;117140.0;;;False;2025
1716505;TO;80.0;376.0;129213.0;;;False;2025
1716604;TO;80.0;889.0;366222.0;4410.0;1.2 - Lenha;True;2025
1716653;TO;80.0;786.0;104225.0;;;False;2025
1716703;TO;80.0;693.0;85939.0;;;False;2025
1717008;TO;80.0;791.0;127274.0;;;False;2025
1717206;TO;80.0;430.0;96571.0;;;False;2025
1717503;TO;80.0;599.0;428207.0;0.0;;True;2025
1717800;TO;80.0;372.0;66553.0;;;False;2025
1717909;TO;80.0;774.0;174067.0;;;False;2025
1718006;TO;80.0;146.0;21777.0;;;False;2025
1718204;TO;80.0;1730.0;229503.0;;;False;2025
1718303;TO;80.0;190.0;10155.0;;;False;2025
1718402;TO;80.0;165.0;53235.0;;;False;2025
1718451;TO;80.0;161.0;46505.0;;;False;2025
1718501;TO;80.0;404.0;91115.0;;;False;2025
1718550;TO;80.0;490.0;40752.0;;;False;2025
1718659;TO;80.0;26.0;12920.0;;;False;2025
1718709;TO;80.0;375.0;54940.0;;;False;2025
1718758;TO;80.0;1197.0;249931.0;;;False;2025
1718808;TO;80.0;330.0;10841.0;;;False;2025
1718840;TO;70.0;419.0;283510.0;;;False;2025
1718865;TO;80.0;315.0;140530.0;;;False;2025
1718881;TO;80.0;413.0;86311.0;;;False;2025
1718899;TO;80.0;460.0;238734.0;;;False;2025
1718907;TO;80.0;540.0;117935.0;;;False;2025
1719004;TO;80.0;287.0;29450.0;;;False;2025
1720002;TO;80.0;128.0;13625.0;;;False;2025
1720101;TO;80.0;399.0;54780.0;;;False;2025
1720150;TO;80.0;134.0;11273.0;;;False;2025
1720200;TO;80.0;280.0;19325.0;4608.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1720259;TO;80.0;305.0;58698.0;;;False;2025
1720309;TO;80.0;277.0;20021.0;;;False;2025
1720499;TO;80.0;473.0;142026.0;384.0;1.3.2 - Madeira em tora para outras finalidades;True;2025
1720655;TO;80.0;366.0;81824.0;;;False;2025
1720804;TO;80.0;323.0;18753.0;;;False;2025
1720853;TO;80.0;144.0;67252.0;;;False;2025
1720903;TO;80.0;764.0;112644.0;;;False;2025
1720937;TO;80.0;98.0;60828.0;;;False;2025
1720978;TO;80.0;331.0;188913.0;;;False;2025
1721000;TO;80.0;1233.0;72871.0;;;False;2025
1721109;TO;80.0;690.0;39263.0;;;False;2025
1721208;TO;80.0;220.0;19029.0;;;False;2025
1721257;TO;80.0;142.0;35122.0;;;False;2025
1721307;TO;80.0;275.0;43377.0;;;False;2025
1722081;TO;80.0;484.0;82095.0;;;False;2025
1722107;TO;80.0;464.0;95995.0;;;False;2025
2100055;MA;75.0;1617.0;457317.0;147131.0;1.1 - Carvão vegetal;True;2025
2100105;MA;70.0;280.0;9007.0;;;False;2025
2100154;MA;70.0;790.0;7797.0;;;False;2025
2100204;MA;55.0;1570.0;2270.0;;;False;2025
2100303;MA;55.0;1362.0;56892.0;;;False;2025
2100402;MA;60.0;413.0;37915.0;;;False;2025
2100436;MA;70.0;209.0;18266.0;;;False;2025
2100477;MA;60.0;747.0;67689.0;;;False;2025
2100501;MA;75.0;447.0;230764.0;;;False;2025
2100550;MA;75.0;210.0;18172.0;;;False;2025
2100600;MA;75.0;2305.0;214062.0;;;False;2025
2100709;MA;55.0;1662.0;11619.0;;;False;2025
2100808;MA;70.0;1114.0;37218.0;672.0;1.1 - Carvão vegetal;True;2025
2100832;MA;55.0;173.0;384.0;;;False;2025
2100873;MA;60.0;529.0;47955.0;;;False;2025
2100907;MA;70.0;2266.0;20969.0;;;False;2025
2100956;MA;70.0;1402.0;124427.0;;;False;2025
2101004;MA;55.0;1260.0;40102.0;;;False;2025
2101103;MA;70.0;695.0;1696.0;;;False;2025
