cod_municipio;numero_estabelecimentos;area_estabelecimentos_ha;ano_referencia
1507300;6375.0;2462092.0;2017
1507409;686.0;35480.0;2017
1507458;1213.0;254157.0;2017
1507466;181.0;6958.0;2017
1507474;521.0;13816.0;2017
1507508;1220.0;77603.0;2017
1507607;2250.0;72647.0;2017
1507706;2382.0;48426.0;2017
1507755;236.0;372562.0;2017
1507805;2224.0;217455.0;2017
1507904;120.0;198911.0;2017
1507953;939.0;233954.0;2017
1507961;104.0;2111.0;2017
1507979;572.0;39307.0;2017
1508001;3050.0;240377.0;2017
1508035;3072.0;28338.0;2017
1508050;726.0;139775.0;2017
1508084;1869.0;226858.0;2017
1508100;1410.0;139934.0;2017
1508126;1246.0;330144.0;2017
1508159;3993.0;548567.0;2017
1508209;945.0;8247.0;2017
1508308;4241.0;231045.0;2017
1508357;1075.0;180457.0;2017
1508407;918.0;221043.0;2017
1600055;114.0;5243.0;2017
1600105;223.0;196152.0;2017
1600154;594.0;33177.0;2017
1600204;213.0;138322.0;2017
1600212;182.0;233800.0;2017
1600238;226.0;136947.0;2017
1600253;215.0;60302.0;2017
1600279;427.0;30078.0;2017
1600303;1828.0;130310.0;2017
1600402;1169.0;88157.0;2017
1600501;1136.0;28868.0;2017
1600535;739.0;81200.0;2017
1600550;145.0;65130.0;2017
1600600;705.0;36137.0;2017
1600709;327.0;218396.0;2017
1600808;264.0;24075.0;2017
1700251;388.0;157433.0;2017
1700301;169.0;15119.0;2017
1700350;330.0;129013.0;2017
1700400;353.0;161888.0;2017
1700707;163.0;102194.0;2017
1701002;374.0;127448.0;2017
1701051;158.0;33802.0;2017
1701101;278.0;75818.0;2017
1701309;670.0;74149.0;2017
1701903;959.0;174915.0;2017
1702000;946.0;574950.0;2017
1702109;1055.0;287777.0;2017
1702158;145.0;48948.0;2017
1702208;2114.0;154753.0;2017
1702307;246.0;123945.0;2017
1702406;866.0;359782.0;2017
1702554;421.0;21653.0;2017
1702703;204.0;63279.0;2017
1702901;152.0;8284.0;2017
1703008;1030.0;94775.0;2017
1703057;212.0;105099.0;2017
1703073;252.0;60161.0;2017
1703107;240.0;48338.0;2017
1703206;577.0;66259.0;2017
1703305;243.0;59659.0;2017
1703602;137.0;39760.0;2017
1703701;423.0;99912.0;2017
1703800;214.0;19994.0;2017
1703826;201.0;18617.0;2017
1703842;655.0;177222.0;2017
1703867;376.0;92345.0;2017
1703883;94.0;31300.0;2017
1703891;185.0;14242.0;2017
1703909;461.0;145036.0;2017
1704105;340.0;101059.0;2017
1704600;218.0;53646.0;2017
1705102;396.0;81960.0;2017
1705508;386.0;72408.0;2017
1705557;188.0;9212.0;2017
1705607;340.0;168973.0;2017
1706001;765.0;126323.0;2017
1706100;483.0;142560.0;2017
1706258;175.0;90059.0;2017
1706506;294.0;62881.0;2017
1707009;453.0;97898.0;2017
1707108;722.0;189159.0;2017
1707207;1157.0;292034.0;2017
1707306;497.0;257801.0;2017
1707405;460.0;27205.0;2017
1707553;215.0;36854.0;2017
1707652;449.0;166563.0;2017
1707702;697.0;122899.0;2017
1708205;1102.0;549527.0;2017
1708254;106.0;30163.0;2017
1708304;698.0;121751.0;2017
1709005;909.0;211893.0;2017
1709302;678.0;130452.0;2017
1709500;626.0;129429.0;2017
1709807;171.0;44384.0;2017
1710508;547.0;115121.0;2017
1710706;475.0;36208.0;2017
1710904;494.0;100867.0;2017
1711100;283.0;84152.0;2017
1711506;624.0;160558.0;2017
1711803;313.0;38817.0;2017
1711902;490.0;330397.0;2017
1711951;399.0;57289.0;2017
1712009;125.0;8628.0;2017
1712157;181.0;25887.0;2017
1712405;535.0;131843.0;2017
1712454;215.0;11920.0;2017
1712504;670.0;176022.0;2017
1712702;216.0;124847.0;2017
1712801;304.0;12317.0;2017
1713205;783.0;161318.0;2017
1713304;504.0;75100.0;2017
1713601;832.0;200395.0;2017
1713700;389.0;84247.0;2017
1713809;546.0;53638.0;2017
1713957;246.0;79213.0;2017
1714203;359.0;150892.0;2017
1714302;187.0;15449.0;2017
1714880;719.0;106192.0;2017
1715002;300.0;43070.0;2017
1715101;197.0;88798.0;2017
1715150;107.0;11891.0;2017
1715259;174.0;53508.0;2017
1715507;82.0;15586.0;2017
1715705;724.0;165013.0;2017
1715754;570.0;136426.0;2017
1716109;624.0;109185.0;2017
1716208;1469.0;479137.0;2017
1716307;421.0;117140.0;2017
1716505;376.0;129213.0;2017
1716604;889.0;366222.0;2017
1716653;786.0;104225.0;2017
1716703;693.0;85939.0;2017
1717008;791.0;127274.0;2017
1717206;430.0;96571.0;2017
1717503;599.0;428207.0;2017
1717800;372.0;66553.0;2017
1717909;774.0;174067.0;2017
1718006;146.0;21777.0;2017
1718204;1730.0;229503.0;2017
1718303;190.0;10155.0;2017
1718402;165.0;53235.0;2017
1718451;161.0;46505.0;2017
1718501;404.0;91115.0;2017
1718550;490.0;40752.0;2017
1718659;26.0;12920.0;2017
1718709;375.0;54940.0;2017
1718758;1197.0;249931.0;2017
1718808;330.0;10841.0;2017
1718840;419.0;283510.0;2017
1718865;315.0;140530.0;2017
1718881;413.0;86311.0;2017
1718899;460.0;238734.0;2017
1718907;540.0;117935.0;2017
1719004;287.0;29450.0;2017
1720002;128.0;13625.0;2017
1720101;399.0;54780.0;2017
1720150;134.0;11273.0;2017
1720200;280.0;19325.0;2017
1720259;305.0;58698.0;2017
1720309;277.0;20021.0;2017
1720499;473.0;142026.0;2017
1720655;366.0;81824.0;2017
1720804;323.0;18753.0;2017
1720853;144.0;67252.0;2017
1720903;764.0;112644.0;2017
1720937;98.0;60828.0;2017
1720978;331.0;188913.0;2017
1721000;1233.0;72871.0;2017
1721109;690.0;39263.0;2017
1721208;220.0;19029.0;2017
1721257;142.0;35122.0;2017
1721307;275.0;43377.0;2017
1722081;484.0;82095.0;2017
1722107;464.0;95995.0;2017
2100055;1617.0;457317.0;2017
2100105;280.0;9007.0;2017
2100154;790.0;7797.0;2017
2100204;1570.0;2270.0;2017
2100303;1362.0;56892.0;2017
2100402;413.0;37915.0;2017
2100436;209.0;18266.0;2017
2100477;747.0;67689.0;2017
2100501;447.0;230764.0;2017
2100550;210.0;18172.0;2017
2100600;2305.0;214062.0;2017
2100709;1662.0;11619.0;2017
2100808;1114.0;37218.0;2017
2100832;173.0;384.0;2017
2100873;529.0;47955.0;2017
2100907;2266.0;20969.0;2017
2100956;1402.0;124427.0;2017
2101004;1260.0;40102.0;2017
2101103;695.0;1696.0;2017
2101202;1964.0;115535.0;2017
2101251;166.0;5049.0;2017
2101301;437.0;2159.0;2017
2101350;416.0;1099.0;2017
2101400;1488.0;558196.0;2017
